tempo,danceability,energy,instrumentalness,liveness,valence
139.969,0.801,0.819,0,0.515,0.811
156.014,0.697,0.354,2.48E-06,0.0539,0.575
130.013,0.706,0.437,0,0.101,0.761
144.026,0.726,0.431,0,0.696,0.348
160.908,0.805,0.479,3.41E-06,0.346,0.363
156.534,0.652,0.483,0,0.0959,0.469
174.018,0.543,0.268,0.000702,0.286,0.118
137.079,0.696,0.583,0,0.0964,0.524
207.954,0.88,0.773,2.03E-05,0.213,0.694
169.926,0.812,0.71,0,0.132,0.805
146.836,0.371,0.883,0.000948,0.383,0.195
145.025,0.34,0.812,0,0.111,0.37
160.143,0.574,0.747,0,0.934,0.567
130.103,0.53,0.946,0,0.38,0.492
179.961,0.785,0.442,6.67E-05,0.165,0.449
150.001,0.61,0.504,1.68E-05,0.164,0.371
128.084,0.721,0.395,0,0.13,0.376
160.03,0.589,0.832,0,0.103,0.538
130.101,0.451,0.488,0,0.074,0.246
120.033,0.643,0.573,0,0.0746,0.0398
128.035,0.699,0.472,0.00738,0.275,0.354
133.937,0.839,0.237,4.35E-05,0.186,0.506
165.88,0.616,0.598,4.80E-06,0.115,0.345
129.986,0.683,0.483,0,0.139,0.308
120.049,0.416,0.847,0,0.106,0.117
169.924,0.592,0.605,1.59E-05,0.11,0.43
150.071,0.663,0.785,1.51E-05,0.12,0.653
130.966,0.796,0.756,0,0.114,0.0512
140.035,0.543,0.496,0.0598,0.101,0.16
199.976,0.719,0.492,1.84E-05,0.161,0.274
150.232,0.513,0.686,0,0.0959,0.23
149.127,0.571,0.58,0,0.108,0.0607
119.9,0.707,0.712,0,0.136,0.248
129.996,0.498,0.885,8.47E-06,0.245,0.358
114.063,0.602,0.536,0,0.124,0.475
121.999,0.649,0.654,3.13E-05,0.0975,0.175
199.983,0.567,0.732,1.35E-06,0.0999,0.056
173.58,0.37,0.43,7.05E-05,0.358,0.173
179.992,0.675,0.628,0,0.0868,0.511
145.018,0.622,0.81,1.38E-06,0.0952,0.348
184.034,0.649,0.858,0,0.0834,0.535
219.804,0.468,0.796,8.65E-05,0.137,0.193
169.931,0.657,0.567,1.77E-06,0.0761,0.626
145.822,0.598,0.559,0,0.137,0.254
136.021,0.516,0.676,0,0.388,0.443
160.05,0.592,0.537,0,0.0734,0.315
132.001,0.596,0.574,0.191,0.115,0.397
145.036,0.56,0.833,0,0.104,0.465
152.047,0.662,0.709,6.50E-05,0.097,0.496
146,0.619,0.744,0.00551,0.151,0.218
180.1,0.422,0.755,0,0.0711,0.446
139.936,0.599,0.781,0,0.294,0.469
116.932,0.682,0.629,0,0.0881,0.225
135.056,0.533,0.638,0.000932,0.0758,0.324
129.903,0.576,0.504,1.05E-05,0.112,0.169
122.047,0.739,0.775,0,0.121,0.225
115.007,0.64,0.558,0.865,0.103,0.207
